The 10 measures below showed the highest variability from hospital to hospital within the Centers for Medicare & Medicaid Services database. To determine these values 3 tables were analyzed, effective care, complications, and readmissions. Readmissions was excluded from the analysis because variation within the table is relatively low and would not show up in the top 10. Once the source tables were confirmed setting up the query was straightforward. The built-in variance function is used to  calculate variance for each group of measures and those measure variances are sorted to create the output table. Even though the variance treats non-numeric values as NULL removing non-numeric values from the data set aides in reducing unnecesary output from the parser.

Measure Variance                Measure Name
ED_1b   8617.740839212507       Median Time from ED Arrival to ED Departure for Admitted ED Patients
ED_2b   3864.6924460743544      Admit Decision Time to ED Departure Time for Admitted Patients
OP_18b  1656.5529409803205      Median Time from ED Arrival to ED Departure for Discharged ED Patients
OP_3b   869.0306968514053       Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate
STK_4   481.98665882944397      Thrombolytic Therapy
OP_23   477.18888614639235      Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival
PSI_4   357.1174249737982       Death among surgical inpatients with serious treatable complications
AMI_7a  352.6666666666667       Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival
OP_2    325.74632352941165      Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival
OP_21   314.0819735739413       Median Time to Pain Management for Long Bone Fracture
